epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.6445,2.10445,3.88478,1.76203,0.00282,0.72827,0.15049,0.05198,1.96957,3.55312,2.09526,0.00043342,0.00043342,0.00043342
2,20.473,1.77581,2.62532,1.48772,0.7324,0.09375,0.19545,0.07155,1.98692,3.14014,1.6919,0.000874763,0.000874763,0.000874763
3,27.4174,1.69828,2.16147,1.45443,0.73621,0.19792,0.32074,0.14238,1.93793,2.94999,1.87884,0.00130719,0.00130719,0.00130719
4,34.1368,1.68074,2.01732,1.4416,0.77814,0.27083,0.42469,0.19297,1.86657,2.72576,1.72651,0.00161749,0.00161749,0.00161749
5,40.8042,1.68252,1.89363,1.45555,0.49123,0.5885,0.55306,0.26229,1.85169,2.01356,1.73064,0.00160099,0.00160099,0.00160099
6,47.471,1.63703,1.7599,1.4288,0.501,0.52426,0.48456,0.23318,1.79163,2.17165,1.54586,0.00158448,0.00158448,0.00158448
7,54.1212,1.59037,1.61014,1.35526,0.78092,0.54908,0.64909,0.30991,1.67209,2.04379,1.48916,0.00156798,0.00156798,0.00156798
8,60.8529,1.56934,1.59329,1.34894,0.64524,0.63348,0.66368,0.31434,1.7237,1.67408,1.42755,0.00155148,0.00155148,0.00155148
9,67.4833,1.54411,1.47552,1.33918,0.55735,0.72602,0.61771,0.30225,1.66088,1.55389,1.39961,0.00153497,0.00153497,0.00153497
10,74.0676,1.49715,1.38361,1.31819,0.70511,0.62577,0.66302,0.31783,1.64568,1.6267,1.41981,0.00151847,0.00151847,0.00151847
11,80.6414,1.44348,1.28651,1.27854,0.76053,0.7817,0.76518,0.38503,1.69684,1.29151,1.40434,0.00150197,0.00150197,0.00150197
12,87.1746,1.49537,1.24598,1.3005,0.77339,0.63988,0.72815,0.35865,1.65928,1.37902,1.43248,0.00148546,0.00148546,0.00148546
13,93.7266,1.48804,1.24318,1.28073,0.76983,0.68884,0.75377,0.37948,1.75616,1.2832,1.43327,0.00146896,0.00146896,0.00146896
14,100.285,1.46661,1.25873,1.28904,0.79845,0.73076,0.78706,0.38633,1.68911,1.30544,1.47021,0.00145246,0.00145246,0.00145246
15,106.87,1.4727,1.14594,1.26485,0.75905,0.71931,0.76277,0.38563,1.62563,1.17912,1.45507,0.00143595,0.00143595,0.00143595
16,113.391,1.42201,1.13268,1.2574,0.72767,0.79196,0.78704,0.41504,1.6415,1.2097,1.43685,0.00141945,0.00141945,0.00141945
17,119.91,1.43045,1.14989,1.26564,0.72348,0.73095,0.74824,0.39598,1.68838,1.21257,1.43568,0.00140295,0.00140295,0.00140295
18,126.562,1.36652,1.06392,1.23185,0.78033,0.79686,0.82637,0.4512,1.60303,1.27367,1.40529,0.00138644,0.00138644,0.00138644
19,133.091,1.40502,1.08502,1.24244,0.73652,0.77244,0.80276,0.40461,1.61298,1.1883,1.33619,0.00136994,0.00136994,0.00136994
20,139.618,1.37836,1.05783,1.22818,0.83723,0.71399,0.77482,0.40482,1.62019,1.17283,1.37338,0.00135344,0.00135344,0.00135344
21,146.098,1.3939,1.03379,1.24054,0.86677,0.65409,0.804,0.43868,1.52452,1.17921,1.31843,0.00133693,0.00133693,0.00133693
22,152.624,1.43155,1.07074,1.24303,0.82577,0.71598,0.76842,0.39022,1.54445,1.21255,1.38171,0.00132043,0.00132043,0.00132043
23,159.25,1.31626,0.98956,1.22797,0.71936,0.75037,0.78546,0.4294,1.57055,1.20458,1.45258,0.00130393,0.00130393,0.00130393
24,165.83,1.33516,0.93973,1.21118,0.77708,0.74911,0.80172,0.42852,1.52904,1.12325,1.26589,0.00128742,0.00128742,0.00128742
25,172.404,1.31465,0.9457,1.20969,0.84784,0.76466,0.82118,0.43731,1.47899,1.07853,1.27058,0.00127092,0.00127092,0.00127092
26,178.961,1.35527,0.95018,1.23449,0.8781,0.71217,0.78413,0.43282,1.53803,1.21401,1.38158,0.00125442,0.00125442,0.00125442
27,185.582,1.37611,0.97919,1.24075,0.86779,0.71399,0.80681,0.43665,1.47285,1.11651,1.30215,0.00123791,0.00123791,0.00123791
28,192.102,1.3292,0.92837,1.21825,0.77555,0.75644,0.79566,0.45552,1.51426,1.09585,1.32779,0.00122141,0.00122141,0.00122141
29,198.693,1.28831,0.92415,1.19706,0.83024,0.7449,0.80681,0.43207,1.49214,1.0725,1.27584,0.00120491,0.00120491,0.00120491
30,205.241,1.27504,0.89663,1.17474,0.82953,0.83997,0.84987,0.46424,1.45436,1.0098,1.27863,0.0011884,0.0011884,0.0011884
31,211.798,1.29616,0.90152,1.18367,0.87164,0.81399,0.84747,0.45963,1.48521,1.00202,1.3287,0.0011719,0.0011719,0.0011719
32,218.401,1.30437,0.89233,1.17761,0.80691,0.74777,0.79969,0.45884,1.50619,1.07357,1.30762,0.0011554,0.0011554,0.0011554
33,224.978,1.27887,0.87379,1.18263,0.87658,0.73869,0.81607,0.43628,1.58822,1.06904,1.37146,0.00113889,0.00113889,0.00113889
34,231.503,1.28288,0.88066,1.16058,0.87441,0.84707,0.88706,0.49305,1.44981,0.93153,1.24413,0.00112239,0.00112239,0.00112239
35,238.04,1.27439,0.87605,1.15519,0.86953,0.80625,0.84765,0.47702,1.49834,1.0321,1.32812,0.00110589,0.00110589,0.00110589
36,244.582,1.27599,0.85674,1.17314,0.84748,0.83105,0.86791,0.4688,1.55606,1.02195,1.30998,0.00108938,0.00108938,0.00108938
37,251.123,1.24793,0.82392,1.14291,0.88329,0.80238,0.86672,0.50415,1.42049,0.93806,1.23489,0.00107288,0.00107288,0.00107288
38,257.678,1.26695,0.81012,1.14255,0.8544,0.84003,0.85595,0.48166,1.45097,0.98107,1.26059,0.00105638,0.00105638,0.00105638
39,264.345,1.30073,0.87475,1.15891,0.86274,0.78408,0.81907,0.43242,1.52205,1.04269,1.40794,0.00103987,0.00103987,0.00103987
40,270.914,1.26299,0.84721,1.15903,0.82058,0.78587,0.84801,0.48933,1.44374,1.01969,1.31598,0.00102337,0.00102337,0.00102337
41,277.44,1.22776,0.79395,1.14631,0.85229,0.77133,0.84955,0.43479,1.59445,0.97794,1.27015,0.00100687,0.00100687,0.00100687
42,283.955,1.2192,0.81985,1.14581,0.84754,0.81533,0.84926,0.46604,1.58334,0.95534,1.24928,0.000990365,0.000990365,0.000990365
43,290.467,1.19754,0.77969,1.10921,0.83111,0.7773,0.81265,0.42731,1.64185,1.05756,1.33079,0.000973861,0.000973861,0.000973861
44,297.065,1.19458,0.7952,1.13864,0.84281,0.72292,0.81285,0.44842,1.5415,1.11917,1.33488,0.000957358,0.000957358,0.000957358
45,303.596,1.22143,0.80331,1.151,0.73118,0.7458,0.81015,0.45093,1.47134,1.19312,1.3013,0.000940855,0.000940855,0.000940855
46,310.15,1.19737,0.77967,1.11913,0.8498,0.80937,0.84232,0.45808,1.50911,1.01269,1.34834,0.000924352,0.000924352,0.000924352
47,316.669,1.21753,0.8001,1.14691,0.90739,0.85216,0.86191,0.4949,1.45427,0.96008,1.27362,0.000907848,0.000907848,0.000907848
48,323.184,1.20422,0.76418,1.10344,0.90401,0.85378,0.90655,0.53264,1.3999,0.85516,1.2113,0.000891345,0.000891345,0.000891345
49,329.743,1.21153,0.78661,1.1246,0.89211,0.80625,0.87389,0.50082,1.41975,0.9065,1.20922,0.000874842,0.000874842,0.000874842
50,336.311,1.21908,0.7799,1.13364,0.91853,0.80961,0.8768,0.50635,1.42409,0.92849,1.24736,0.000858338,0.000858338,0.000858338
51,342.807,1.23311,0.78757,1.15073,0.84041,0.84658,0.88245,0.5117,1.45333,0.92023,1.20928,0.000841835,0.000841835,0.000841835
52,349.331,1.1811,0.77432,1.10898,0.87113,0.86388,0.90022,0.5007,1.47275,0.91545,1.16298,0.000825332,0.000825332,0.000825332
53,355.881,1.18388,0.7732,1.1086,0.90036,0.81009,0.88421,0.50448,1.43613,0.83787,1.18504,0.000808828,0.000808828,0.000808828
54,362.418,1.22831,0.79561,1.12356,0.92182,0.81539,0.90082,0.51594,1.41232,0.84381,1.17974,0.000792325,0.000792325,0.000792325
55,368.906,1.15069,0.73507,1.10628,0.85639,0.8534,0.89006,0.50704,1.46782,0.86021,1.19636,0.000775822,0.000775822,0.000775822
56,375.399,1.11971,0.72898,1.0908,0.94495,0.85847,0.90039,0.51777,1.42908,0.83018,1.18517,0.000759318,0.000759318,0.000759318
57,381.84,1.14716,0.73516,1.1006,0.87447,0.81012,0.86553,0.51516,1.42034,0.91913,1.25688,0.000742815,0.000742815,0.000742815
58,388.355,1.15073,0.7175,1.08082,0.91411,0.87515,0.88646,0.50522,1.4,0.87148,1.23632,0.000726312,0.000726312,0.000726312
59,394.961,1.15185,0.74414,1.08643,0.92273,0.82682,0.86577,0.4866,1.43697,0.90792,1.30542,0.000709809,0.000709809,0.000709809
60,401.464,1.15212,0.72748,1.10709,0.8824,0.83034,0.85235,0.49305,1.44273,0.94557,1.30533,0.000693305,0.000693305,0.000693305
61,407.952,1.14665,0.7138,1.08713,0.87043,0.86607,0.89157,0.52422,1.41799,0.84602,1.17375,0.000676802,0.000676802,0.000676802
62,414.489,1.09722,0.69647,1.0914,0.87643,0.80748,0.86488,0.49806,1.53191,0.85326,1.20643,0.000660299,0.000660299,0.000660299
63,420.995,1.12491,0.69444,1.07288,0.91436,0.80281,0.87348,0.51888,1.42964,0.93628,1.2187,0.000643795,0.000643795,0.000643795
64,427.518,1.11222,0.70324,1.07321,0.90819,0.82117,0.85982,0.51044,1.43631,0.88277,1.24832,0.000627292,0.000627292,0.000627292
65,433.986,1.11515,0.71764,1.0888,0.9618,0.76726,0.87736,0.51099,1.4122,0.88843,1.26757,0.000610789,0.000610789,0.000610789
66,440.506,1.10989,0.68322,1.07398,0.95747,0.80145,0.90099,0.54037,1.36892,0.82085,1.21422,0.000594286,0.000594286,0.000594286
67,447.047,1.06266,0.68445,1.05492,0.93115,0.84481,0.90987,0.52097,1.39775,0.83801,1.2087,0.000577782,0.000577782,0.000577782
68,453.582,1.06658,0.68748,1.07303,0.86593,0.85532,0.89886,0.52801,1.38726,0.84301,1.22325,0.000561279,0.000561279,0.000561279
69,460.104,1.07132,0.66652,1.07303,0.91037,0.80637,0.88419,0.52112,1.45408,0.83754,1.29544,0.000544776,0.000544776,0.000544776
70,466.658,1.08512,0.6646,1.06927,0.90966,0.83938,0.901,0.54344,1.34491,0.82543,1.19286,0.000528272,0.000528272,0.000528272
71,473.195,1.08861,0.66356,1.07466,0.94423,0.84219,0.90793,0.53949,1.2903,0.79305,1.15521,0.000511769,0.000511769,0.000511769
