epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,385.989,1.28521,0.83892,1.16898,0.85388,0.77658,0.82447,0.48391,1.49907,1.0329,1.27505,0.000990365,0.000990365,0.000990365
43,394.905,1.27213,0.82155,1.12276,0.87359,0.82574,0.86828,0.50849,1.47728,0.97993,1.23767,0.000973861,0.000973861,0.000973861
44,403.868,1.25459,0.82584,1.14743,0.91383,0.80931,0.86105,0.48548,1.47184,0.94962,1.2867,0.000957358,0.000957358,0.000957358
45,412.833,1.25309,0.82547,1.15283,0.83551,0.794,0.85371,0.50138,1.46991,1.02124,1.269,0.000940855,0.000940855,0.000940855
46,421.765,1.24756,0.82748,1.13215,0.90398,0.80491,0.86016,0.52613,1.42309,0.93636,1.22981,0.000924352,0.000924352,0.000924352
47,430.692,1.23197,0.82946,1.14818,0.8724,0.8415,0.86827,0.49959,1.45578,0.90317,1.2547,0.000907848,0.000907848,0.000907848
48,439.706,1.25639,0.81847,1.13138,0.84612,0.8192,0.86697,0.49521,1.43195,0.96311,1.26325,0.000891345,0.000891345,0.000891345
49,448.629,1.24738,0.83001,1.14558,0.84419,0.82793,0.8723,0.5007,1.39212,0.95309,1.22802,0.000874842,0.000874842,0.000874842
50,457.572,1.27567,0.79838,1.15772,0.91717,0.76592,0.87437,0.51264,1.48178,0.9709,1.26554,0.000858338,0.000858338,0.000858338
51,466.501,1.27591,0.83658,1.15882,0.82025,0.82052,0.86415,0.48238,1.44216,0.93982,1.19554,0.000841835,0.000841835,0.000841835
52,475.515,1.22529,0.81348,1.13101,0.89034,0.84421,0.86609,0.48372,1.4956,0.93973,1.20051,0.000825332,0.000825332,0.000825332
53,484.397,1.24134,0.81655,1.13558,0.87923,0.84003,0.8721,0.48622,1.44016,0.93487,1.18735,0.000808828,0.000808828,0.000808828
54,493.289,1.27472,0.84327,1.14075,0.89415,0.8192,0.86005,0.49705,1.45572,0.95674,1.19678,0.000792325,0.000792325,0.000792325
55,502.356,1.20728,0.78286,1.11684,0.85496,0.85045,0.88738,0.49118,1.45732,0.91436,1.18753,0.000775822,0.000775822,0.000775822
56,511.266,1.19198,0.77734,1.1057,0.85,0.77175,0.85426,0.46418,1.54561,1.03325,1.21423,0.000759318,0.000759318,0.000759318
57,520.15,1.21242,0.78662,1.1248,0.9338,0.85731,0.91279,0.52379,1.38195,0.86675,1.16419,0.000742815,0.000742815,0.000742815
58,529.084,1.17518,0.73091,1.07678,0.89938,0.85409,0.86617,0.48765,1.50415,0.91329,1.24563,0.000726312,0.000726312,0.000726312
59,538.028,1.18846,0.75373,1.09193,0.86237,0.8492,0.86441,0.48987,1.47227,0.92075,1.22761,0.000709809,0.000709809,0.000709809
60,546.955,1.19513,0.76343,1.11488,0.87543,0.80476,0.8652,0.51155,1.50046,0.96776,1.27602,0.000693305,0.000693305,0.000693305
61,555.837,1.20745,0.7459,1.09923,0.90942,0.83274,0.89318,0.50846,1.46357,0.90261,1.2262,0.000676802,0.000676802,0.000676802
62,564.791,1.15514,0.73701,1.1017,0.90211,0.82574,0.8759,0.51691,1.4463,0.88788,1.17139,0.000660299,0.000660299,0.000660299
63,573.814,1.16744,0.73773,1.08403,0.90842,0.85203,0.89729,0.52575,1.36735,0.84428,1.143,0.000643795,0.000643795,0.000643795
64,582.771,1.16869,0.74762,1.08377,0.9005,0.85952,0.87958,0.47246,1.4891,0.93827,1.22229,0.000627292,0.000627292,0.000627292
65,591.66,1.17269,0.74521,1.09431,0.9196,0.8439,0.86289,0.50027,1.38688,0.87652,1.27032,0.000610789,0.000610789,0.000610789
66,600.657,1.14386,0.71895,1.09222,0.89923,0.83348,0.86779,0.50191,1.44897,0.9276,1.26124,0.000594286,0.000594286,0.000594286
67,609.574,1.12285,0.72759,1.07736,0.87199,0.84027,0.86193,0.50105,1.46169,0.88278,1.23698,0.000577782,0.000577782,0.000577782
68,618.518,1.1109,0.72245,1.07855,0.92226,0.86994,0.89495,0.55677,1.3847,0.88123,1.17178,0.000561279,0.000561279,0.000561279
69,627.418,1.1228,0.70201,1.07472,0.90538,0.83869,0.89136,0.53029,1.4192,0.84786,1.21033,0.000544776,0.000544776,0.000544776
70,636.356,1.15447,0.71399,1.07669,0.92483,0.8192,0.89494,0.5178,1.42063,0.83767,1.22922,0.000528272,0.000528272,0.000528272
71,645.299,1.11298,0.70099,1.07326,0.90105,0.83869,0.86511,0.5002,1.39344,0.87705,1.2291,0.000511769,0.000511769,0.000511769
72,654.199,1.09379,0.69649,1.05076,0.91419,0.8439,0.89414,0.51828,1.43936,0.85807,1.25898,0.000495266,0.000495266,0.000495266
73,663.149,1.1333,0.71788,1.06676,0.88457,0.8504,0.90425,0.51022,1.42396,0.83866,1.20617,0.000478762,0.000478762,0.000478762
74,672.049,1.11571,0.69592,1.07791,0.93504,0.86994,0.91862,0.53166,1.43605,0.81552,1.17541,0.000462259,0.000462259,0.000462259
75,680.975,1.1472,0.70122,1.08737,0.90619,0.81533,0.89907,0.51143,1.44209,0.86706,1.23972,0.000445756,0.000445756,0.000445756
76,689.882,1.15141,0.69815,1.08073,0.92156,0.84132,0.86891,0.50734,1.46626,0.88801,1.27183,0.000429253,0.000429253,0.000429253
77,698.823,1.08252,0.68785,1.05511,0.88894,0.85143,0.88414,0.53396,1.39776,0.85216,1.23259,0.000412749,0.000412749,0.000412749
78,707.719,1.09285,0.67393,1.06244,0.89989,0.85822,0.88827,0.54738,1.36686,0.82444,1.20593,0.000396246,0.000396246,0.000396246
79,716.635,1.06809,0.6627,1.06021,0.91691,0.85433,0.90733,0.55746,1.36626,0.80338,1.16311,0.000379743,0.000379743,0.000379743
80,725.672,1.07554,0.6583,1.05523,0.88393,0.83696,0.89528,0.53874,1.37682,0.84087,1.17785,0.000363239,0.000363239,0.000363239
