epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,57.8237,3.35865,5.18773,1.3661,1e-05,0.00079,1e-05,0,2.95206,3.9586,1.25149,0.000547373,0.000547373,0.000547373
2,105.302,3.12604,3.45003,1.22528,0.74542,0.05924,0.08141,0.02863,3.22731,3.12945,1.36988,0.0010812,0.0010812,0.0010812
3,154.747,3.06372,3.00416,1.21592,0.68929,0.18246,0.148,0.05152,2.92741,2.51578,1.23315,0.00159302,0.00159302,0.00159302
4,204.775,3.08573,2.77528,1.23735,0.70483,0.15457,0.13599,0.04545,2.91551,2.73091,1.23307,0.00156798,0.00156798,0.00156798
5,255.157,3.01499,2.53033,1.22428,0.73865,0.16272,0.16367,0.06143,2.8787,2.34164,1.22439,0.00153497,0.00153497,0.00153497
6,307.54,2.96858,2.46434,1.18344,0.7524,0.17536,0.17468,0.06557,2.88913,2.22185,1.22023,0.00150197,0.00150197,0.00150197
7,359.217,2.89957,2.32806,1.18721,0.71845,0.17282,0.16903,0.05723,2.97252,2.17901,1.20974,0.00146896,0.00146896,0.00146896
8,410.129,2.95215,2.31714,1.18453,0.76623,0.20379,0.21023,0.07849,2.73371,2.05151,1.18529,0.00143595,0.00143595,0.00143595
9,461.811,2.91632,2.27172,1.16148,0.75375,0.19273,0.19578,0.07408,2.72667,2.14,1.17975,0.00140295,0.00140295,0.00140295
10,514.072,2.8292,2.21288,1.16489,0.79941,0.20043,0.2224,0.08308,2.71944,2.05006,1.1872,0.00136994,0.00136994,0.00136994
11,565.203,2.83933,2.20158,1.16701,0.76402,0.19905,0.21275,0.08324,2.64131,2.00642,1.1732,0.00133693,0.00133693,0.00133693
12,614.269,2.7666,2.14428,1.14459,0.73896,0.19589,0.1801,0.06342,2.82979,2.17694,1.18918,0.00130393,0.00130393,0.00130393
13,665.475,2.77773,2.13418,1.14538,0.75618,0.19905,0.19657,0.07814,2.69578,2.03837,1.17133,0.00127092,0.00127092,0.00127092
14,714.879,2.74021,2.10884,1.14535,0.76614,0.18799,0.19339,0.07521,2.77953,2.07554,1.19855,0.00123791,0.00123791,0.00123791
15,765.74,2.75782,2.11171,1.14706,0.76394,0.21959,0.22259,0.07969,2.65692,1.94258,1.14223,0.00120491,0.00120491,0.00120491
16,816.491,2.75795,2.09016,1.13156,0.7917,0.24336,0.24704,0.09978,2.56751,1.89894,1.13683,0.0011719,0.0011719,0.0011719
17,865.938,2.77507,2.08156,1.15544,0.76934,0.22689,0.22483,0.08731,2.66622,2.00368,1.16954,0.00113889,0.00113889,0.00113889
18,916.885,2.72902,2.04451,1.13144,0.78082,0.23855,0.24146,0.09154,2.58502,1.86657,1.12525,0.00110589,0.00110589,0.00110589
