epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.9745,2.15699,3.62046,1.71541,0.00298,0.77247,0.08719,0.02839,2.10864,3.61247,1.94107,0.00043342,0.00043342,0.00043342
2,27.2567,1.87401,2.52049,1.49002,0.50958,0.02604,0.00555,0.00213,2.41167,4.0138,2.3032,0.000866017,0.000866017,0.000866017
3,36.5388,1.72645,2.19792,1.45839,0.00742,0.04688,0.01215,0.0028,2.90451,9.07429,3.23602,0.00128079,0.00128079,0.00128079
4,45.5419,1.73993,2.01838,1.44957,0.47145,0.28483,0.29587,0.08631,2.16377,2.63915,1.83382,0.00156798,0.00156798,0.00156798
5,54.5896,1.75996,1.88814,1.41915,0.45466,0.59702,0.48764,0.21705,1.85212,1.99344,1.64446,0.00153497,0.00153497,0.00153497
6,63.6039,1.68857,1.78425,1.40099,0.548,0.6222,0.57038,0.2463,1.79897,1.79833,1.57343,0.00150197,0.00150197,0.00150197
7,72.5864,1.63567,1.63534,1.38477,0.55658,0.56737,0.50902,0.21889,1.87389,2.16116,1.58611,0.00146896,0.00146896,0.00146896
8,81.5559,1.66919,1.62517,1.38126,0.61861,0.53973,0.56533,0.26427,1.83934,1.85591,1.54016,0.00143595,0.00143595,0.00143595
9,90.5094,1.56915,1.48724,1.32813,0.60371,0.56196,0.54694,0.2652,1.76417,1.92101,1.53374,0.00140295,0.00140295,0.00140295
10,99.4989,1.57495,1.39888,1.31345,0.57138,0.51503,0.54762,0.2664,1.77574,2.04625,1.5523,0.00136994,0.00136994,0.00136994
11,108.417,1.49862,1.32939,1.28879,0.70476,0.68,0.71025,0.35568,1.68624,1.45162,1.44875,0.00133693,0.00133693,0.00133693
12,117.427,1.55641,1.29243,1.29963,0.54129,0.69985,0.63982,0.32877,1.70038,1.39436,1.38651,0.00130393,0.00130393,0.00130393
13,126.388,1.50958,1.24264,1.28356,0.64035,0.61144,0.63252,0.31608,1.78999,1.46856,1.428,0.00127092,0.00127092,0.00127092
14,135.348,1.49745,1.23859,1.28404,0.86337,0.75164,0.81508,0.40971,1.60129,1.20522,1.38056,0.00123791,0.00123791,0.00123791
15,144.238,1.47144,1.16207,1.2394,0.57458,0.51101,0.47749,0.21798,1.96618,1.84817,1.54889,0.00120491,0.00120491,0.00120491
16,153.266,1.44499,1.14924,1.23547,0.71232,0.64124,0.69395,0.3561,1.70512,1.49312,1.44936,0.0011719,0.0011719,0.0011719
17,162.166,1.47911,1.15295,1.24692,0.77546,0.64983,0.75097,0.37569,1.73337,1.30532,1.43783,0.00113889,0.00113889,0.00113889
18,171.143,1.4155,1.08165,1.21949,0.86885,0.68284,0.79437,0.42077,1.57853,1.21329,1.3108,0.00110589,0.00110589,0.00110589
19,180.068,1.42313,1.08873,1.2454,0.81389,0.73731,0.81172,0.41149,1.58738,1.223,1.42223,0.00107288,0.00107288,0.00107288
20,189.063,1.43392,1.06389,1.24355,0.80034,0.7544,0.79601,0.44505,1.53106,1.20685,1.33125,0.00103987,0.00103987,0.00103987
21,198.02,1.42778,1.04872,1.22818,0.70012,0.70343,0.73636,0.38418,1.56153,1.23868,1.34767,0.00100687,0.00100687,0.00100687
22,206.91,1.43027,1.07527,1.22901,0.84351,0.70104,0.81308,0.45405,1.48986,1.10873,1.29974,0.000973861,0.000973861,0.000973861
23,215.876,1.35512,0.9921,1.19743,0.87054,0.77137,0.81922,0.44565,1.59504,1.0658,1.31938,0.000940855,0.000940855,0.000940855
24,224.795,1.34552,0.95155,1.19977,0.86518,0.82602,0.86576,0.52357,1.41745,0.95247,1.2002,0.000907848,0.000907848,0.000907848
25,233.653,1.3317,0.95678,1.17953,0.80706,0.72827,0.7933,0.45518,1.61267,1.14699,1.30139,0.000874842,0.000874842,0.000874842
26,242.565,1.33869,0.99761,1.18709,0.85963,0.78289,0.84923,0.46673,1.53703,1.02999,1.31914,0.000841835,0.000841835,0.000841835
27,251.514,1.34525,0.95792,1.19761,0.86866,0.80357,0.8481,0.488,1.5872,1.07115,1.33062,0.000808828,0.000808828,0.000808828
28,260.459,1.3283,0.91332,1.17006,0.80816,0.84637,0.8542,0.49011,1.4764,1.02417,1.25145,0.000775822,0.000775822,0.000775822
29,269.364,1.31448,0.94667,1.17087,0.78472,0.8472,0.86981,0.45509,1.65154,1.00604,1.28025,0.000742815,0.000742815,0.000742815
30,278.334,1.29202,0.89405,1.16183,0.84288,0.79006,0.83083,0.42109,1.59052,1.06538,1.24213,0.000709809,0.000709809,0.000709809
31,287.278,1.32329,0.89504,1.15993,0.87636,0.84003,0.87556,0.52663,1.40166,0.95288,1.17964,0.000676802,0.000676802,0.000676802
32,296.213,1.2915,0.88765,1.13756,0.85901,0.84489,0.86776,0.51683,1.40644,0.95456,1.19013,0.000643795,0.000643795,0.000643795
