epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2004.26,2.5745,1.91226,1.08389,0.82285,0.24041,0.27447,0.11279,2.41577,1.8112,1.09373,0.000990365,0.000990365,0.000990365
43,2050.24,2.52345,1.86987,1.07757,0.80531,0.24961,0.26854,0.11426,2.43471,1.80684,1.09793,0.000973861,0.000973861,0.000973861
44,2096.73,2.54777,1.86439,1.09494,0.79174,0.27251,0.27739,0.11438,2.40672,1.80293,1.09019,0.000957358,0.000957358,0.000957358
45,2142.79,2.49239,1.86306,1.07424,0.79901,0.25592,0.26992,0.11027,2.38998,1.82128,1.08482,0.000940855,0.000940855,0.000940855
46,2189.98,2.5464,1.89601,1.08908,0.79627,0.24724,0.26436,0.10961,2.39913,1.84768,1.08122,0.000924352,0.000924352,0.000924352
47,2236.38,2.52311,1.87485,1.07525,0.83136,0.2346,0.25792,0.10674,2.45034,1.84283,1.11178,0.000907848,0.000907848,0.000907848
48,2281.46,2.51769,1.88681,1.06219,0.81034,0.24882,0.26806,0.11297,2.38568,1.83683,1.07924,0.000891345,0.000891345,0.000891345
49,2328.79,2.45744,1.81835,1.06703,0.82725,0.25438,0.28339,0.11881,2.37453,1.78149,1.0729,0.000874842,0.000874842,0.000874842
50,2376.96,2.48129,1.82664,1.08329,0.80449,0.26619,0.28037,0.11538,2.40455,1.80133,1.08385,0.000858338,0.000858338,0.000858338
51,2421.73,2.47959,1.846,1.06505,0.81632,0.2575,0.276,0.11601,2.39429,1.80441,1.08076,0.000841835,0.000841835,0.000841835
52,2467.4,2.50087,1.86543,1.07081,0.82476,0.2547,0.27071,0.11324,2.45029,1.7956,1.10379,0.000825332,0.000825332,0.000825332
53,2516.19,2.46405,1.83829,1.06926,0.82761,0.24961,0.28196,0.11933,2.36894,1.77102,1.06879,0.000808828,0.000808828,0.000808828
54,2566.2,2.47349,1.82365,1.06049,0.78652,0.27014,0.27828,0.11826,2.39797,1.78394,1.08546,0.000792325,0.000792325,0.000792325
55,2614.38,2.44575,1.79503,1.0682,0.8241,0.25118,0.2804,0.12171,2.38912,1.7989,1.08475,0.000775822,0.000775822,0.000775822
56,2661.87,2.46232,1.79612,1.06938,0.83527,0.23381,0.27168,0.11649,2.43517,1.79477,1.09401,0.000759318,0.000759318,0.000759318
57,2709.18,2.40336,1.77413,1.05013,0.8431,0.24645,0.28486,0.12449,2.39606,1.82537,1.08282,0.000742815,0.000742815,0.000742815
58,2756.52,2.42377,1.78299,1.06011,0.82582,0.26066,0.2866,0.12082,2.40199,1.74537,1.08288,0.000726312,0.000726312,0.000726312
59,2805,2.43434,1.78368,1.0637,0.82953,0.25042,0.2733,0.1167,2.42862,1.7751,1.09429,0.000709809,0.000709809,0.000709809
60,2852.13,2.41728,1.76582,1.05696,0.83477,0.26698,0.2931,0.12732,2.35384,1.70468,1.06971,0.000693305,0.000693305,0.000693305
61,2901.92,2.38416,1.78117,1.06151,0.81321,0.26461,0.27716,0.11391,2.41871,1.77082,1.08462,0.000676802,0.000676802,0.000676802
62,2948.83,2.41876,1.78404,1.0576,0.81835,0.2733,0.29027,0.12639,2.36017,1.72101,1.08084,0.000660299,0.000660299,0.000660299
63,2995.48,2.4037,1.76233,1.04917,0.81095,0.26893,0.28293,0.11982,2.40042,1.77863,1.0881,0.000643795,0.000643795,0.000643795
64,3043.35,2.43704,1.78821,1.06397,0.80557,0.27014,0.28195,0.12168,2.40866,1.77076,1.093,0.000627292,0.000627292,0.000627292
65,3091.07,2.46028,1.77696,1.05339,0.80612,0.28041,0.28845,0.12248,2.39082,1.77234,1.07589,0.000610789,0.000610789,0.000610789
66,3139.28,2.39458,1.76948,1.06323,0.81905,0.27014,0.2872,0.12344,2.37549,1.74861,1.0862,0.000594286,0.000594286,0.000594286
67,3185.52,2.35528,1.718,1.04294,0.8104,0.2733,0.28792,0.12467,2.33534,1.73864,1.07744,0.000577782,0.000577782,0.000577782
68,3231.08,2.39702,1.73373,1.06053,0.82535,0.25671,0.28337,0.12236,2.36427,1.7353,1.07897,0.000561279,0.000561279,0.000561279
69,3279.78,2.37553,1.72632,1.04915,0.81556,0.27725,0.29176,0.12763,2.3159,1.70717,1.06973,0.000544776,0.000544776,0.000544776
70,3327.92,2.37291,1.74638,1.03993,0.83653,0.26224,0.29352,0.12774,2.35013,1.72662,1.07857,0.000528272,0.000528272,0.000528272
71,3377.07,2.36487,1.70955,1.03898,0.81031,0.27093,0.29201,0.12862,2.33118,1.70498,1.06479,0.000511769,0.000511769,0.000511769
72,3423.9,2.35832,1.72114,1.03393,0.30435,0.2891,0.29683,0.12836,2.3307,1.7468,1.06917,0.000495266,0.000495266,0.000495266
73,3470.54,2.35043,1.72467,1.06491,0.8309,0.26935,0.29405,0.12664,2.38768,1.74032,1.08001,0.000478762,0.000478762,0.000478762
74,3517.39,2.34378,1.71553,1.05341,0.3204,0.27804,0.29642,0.12843,2.3289,1.6997,1.06885,0.000462259,0.000462259,0.000462259
75,3562.75,2.35139,1.69222,1.04477,0.82181,0.27725,0.29242,0.13064,2.32016,1.68347,1.0629,0.000445756,0.000445756,0.000445756
76,3610.14,2.33818,1.68514,1.04443,0.33091,0.28134,0.30208,0.12894,2.33791,1.70084,1.07316,0.000429253,0.000429253,0.000429253
77,3657.83,2.32581,1.69734,1.04806,0.82341,0.28357,0.29617,0.13078,2.32715,1.72696,1.06922,0.000412749,0.000412749,0.000412749
78,3707.98,2.32981,1.70421,1.04362,0.82639,0.28199,0.29733,0.12391,2.35228,1.72054,1.07413,0.000396246,0.000396246,0.000396246
79,3758.5,2.3576,1.71716,1.04593,0.83671,0.28436,0.30314,0.13201,2.3355,1.69144,1.07352,0.000379743,0.000379743,0.000379743
80,3806.95,2.33979,1.7233,1.03668,0.83187,0.26817,0.29231,0.12633,2.35792,1.70868,1.07869,0.000363239,0.000363239,0.000363239
81,3853.01,2.28224,1.66445,1.03938,0.84385,0.27409,0.30435,0.13247,2.32817,1.70921,1.07858,0.000346736,0.000346736,0.000346736
82,3903.98,2.28104,1.66091,1.03148,0.33672,0.26777,0.3019,0.13415,2.29129,1.67617,1.06795,0.000330233,0.000330233,0.000330233
83,3954.51,2.2731,1.66411,1.03267,0.83583,0.28199,0.30836,0.13516,2.29983,1.66777,1.06433,0.000313729,0.000313729,0.000313729
84,4001.55,2.31074,1.6858,1.04275,0.86021,0.27071,0.30811,0.13367,2.29766,1.67947,1.06655,0.000297226,0.000297226,0.000297226
85,4049.97,2.28093,1.66142,1.03165,0.34951,0.27725,0.30695,0.13329,2.2961,1.68189,1.07006,0.000280723,0.000280723,0.000280723
86,4097.7,2.26987,1.62651,1.0468,0.35815,0.26698,0.30637,0.13768,2.30015,1.67991,1.07232,0.00026422,0.00026422,0.00026422
87,4145.55,2.26378,1.63572,1.0325,0.82697,0.28658,0.30703,0.13397,2.27572,1.66752,1.06106,0.000247716,0.000247716,0.000247716
88,4195.89,2.27622,1.64626,1.03486,0.83652,0.28199,0.30945,0.13694,2.27644,1.66775,1.06526,0.000231213,0.000231213,0.000231213
89,4246.59,2.27616,1.6401,1.03281,0.33202,0.27947,0.29731,0.12898,2.34441,1.7089,1.07661,0.00021471,0.00021471,0.00021471
90,4295.91,2.26333,1.64412,1.02944,0.82211,0.27605,0.29577,0.13119,2.32766,1.70387,1.07694,0.000198206,0.000198206,0.000198206
91,4351.75,2.21724,1.64358,1.06487,0.84303,0.27275,0.30096,0.13138,2.29287,1.68922,1.06895,0.000181703,0.000181703,0.000181703
92,4402.94,2.18086,1.60089,1.06072,0.33559,0.28041,0.30516,0.13386,2.27854,1.68054,1.06598,0.0001652,0.0001652,0.0001652
93,4453.11,2.16937,1.5987,1.05832,0.82953,0.28094,0.30814,0.13519,2.2803,1.68116,1.06588,0.000148696,0.000148696,0.000148696
94,4503.55,2.13885,1.56533,1.05238,0.84424,0.28357,0.30701,0.13334,2.26901,1.67768,1.06423,0.000132193,0.000132193,0.000132193
95,4555.04,2.14771,1.57436,1.05761,0.84838,0.27804,0.3048,0.13617,2.28326,1.66675,1.06386,0.00011569,0.00011569,0.00011569
96,4606.06,2.14475,1.56552,1.0428,0.86388,0.26777,0.30659,0.13436,2.2841,1.67889,1.06445,9.91865e-05,9.91865e-05,9.91865e-05
97,4655.28,2.11037,1.55185,1.04484,0.33876,0.28357,0.30574,0.13452,2.27023,1.66985,1.06119,8.26832e-05,8.26832e-05,8.26832e-05
98,4706.03,2.10892,1.54807,1.05478,0.34264,0.28278,0.30694,0.13552,2.26568,1.66846,1.06102,6.61799e-05,6.61799e-05,6.61799e-05
99,4756.11,2.12239,1.55008,1.04837,0.3439,0.27495,0.30416,0.13598,2.27081,1.66567,1.06356,4.96766e-05,4.96766e-05,4.96766e-05
100,4806.14,2.08879,1.53617,1.0423,0.34534,0.27725,0.30592,0.13789,2.27198,1.67207,1.06465,3.31733e-05,3.31733e-05,3.31733e-05
